level,name,REGIOVIZ,UNIT_SUP,ACT_1574_2016,CHOM_1574_2016,ACT_1524_2013,CHOM_1524_2013,CHOM_LONG_2014,ACT_LONG_2014,CHOM_FEM_2015,CHOM_MAL_2015,ACT_FEM_2015,ACT_MAL_2015,EMP_2564_2016,ACT_2564_2016,Y25.64_2016,ENSSUP_2564_2016,Y18.24_2014,Y18.24_LEAV_2014,REV_2014,MEN_2014,EMP_FT_2016,EMP_PT_2016,PIB_2014,POP_PIB_2014,EMP_TERT2015,EMP_ADM2015,EMP_TOTAL2015,EMP_HTEC_2015,EMP_T_HTEC_2015,VA_TERTOT_2013,VA_TOTAL_2013,BREV_2012,POP_BREV_2012,RD_EMP_2013,POP_RD_EMP_2013,RD_DEP_2013,POP_RD_DEP_2013,ARTIF_AREA_2015,LC_AREA_2015,IND_LU_2015,LU_2015,POP_AGE_T_2016,POP_LT25_2016,POP_GE65_2016,POP_1524_2016,POP_5564_2016,POP_2564_2016,MED_AGE_2016,ESP_VIE_2015,RT_CHOM_1574,RT_CHOM_1524,RT_CHOM_LONG,RT_CHOM_FEM,RT_CHOM_MAL,RT_CHOM_SEX_INEQ,RT_EMP_2564,RT_ENSSUP_2564,RT_Y1824_LEAV,RT_REV,RT_EMP_PT,RT_PIB_HAB,RT_EMP_TERT,RT_EMP_ADM,RT_EMP_HTEC,RT_VA_TERT,RT_BREV_HAB,RT_RD_EMP,RT_RD_DEP,RT_ARTIF_AREA,RT_IND_LU,RT_POP_LT25,RT_POP_GE65,RT_POP_REN_ACT,RT_POP_REN_ACT10,RT_POP_RETR,RT_MED_AGE,RT_ESP_VIE,N12_POL,N1,TypoDemoN12,TypoDemoN1,TypoPopN12,TypoPopN1,TypoEmpN12,TypoEmpN1,TypoGDPN12,TypoGDPN1,TypoEcoSpeN12,TypoEcoSpeN1,TypoUrbN12,TypoUrbN1,id
3,Weinviertel,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495,0.123514851485149,NA,NA,NA,NA,NA,1466.0,2191.0,7.35,0.12337389844733501,NA,NA,NA,NA,NA,NA,NA,NA,124229,29385,26429,13359,18117,75286,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200.0,NA,NA,NA,66.9100867183934,5957.5,NA,NA,NA,NA,23.653897238165,21.2744206264238,39.0311611720639,73.7373737373737,35.104800361289,46.7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT125
3,Wiener Umland/Nordteil,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8686,0.314710144927536,NA,NA,NA,NA,NA,4658.0,7672.0,53.52,0.308200837301976,NA,NA,NA,NA,NA,NA,NA,NA,320213,82082,61049,35063,41417,194488,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27600.0,NA,NA,NA,60.71428571428571,17365.3,NA,NA,NA,NA,25.633562659854498,19.065122277983697,42.2041462712352,84.6584735736533,31.389597301633,45.0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT126
3,Wiener Umland/Südteil,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14294,0.327844036697248,NA,NA,NA,NA,NA,9183.0,12242.0,50.35,0.32094594594594605,NA,NA,NA,NA,NA,NA,NA,NA,334259,84898,65781,36023,41095,201558,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43600.0,NA,NA,NA,75.012252899853,15688.0,NA,NA,NA,NA,25.3988673453819,19.6796496130246,42.12087835759429,87.65786592042829,32.6362635072783,44.7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT127
2,Wien,0,Autriche,934.1,105.5533,101.2,16.2932,27.4,883.8709677419349,37.9,57.3,430.2,469.7,725.8,1041.31994261119,1043656.0,416418.744,165112.0,14860.08,38442.0,1.77972222222222,579.2,251.5,84255,1.78128964059197,691.5,216.8,806.6,50.4,800.0,62643.5,73769.0,222.98,1.71707993223471,20456.0,796108.1922553029,2938.696,1.74124311192748,176.0,416.075650118203,163.0,414.758269720102,1837438,486838,306944,222884,201581,1177929,39.8,79.8,11.3,16.1,3.1,8.809855880985591,12.1992761337024,-3.38942025271677,69.7,39.9,9.0,21600.0,43.4219613259668,47300.0,85.73022563848251,26.8782544011902,6.3,84.91846168444741,12986.0,2.5695,1687.7,42.3,39.3,26.495479031129197,16.7049990258175,41.3299952713619,110.56796027403401,26.057937278053302,39.8,79.8,1,0,Régions en forte croissance démographique (0.63 - 2.61 %),NA,Régions entre 1 500 000 et 2 700 000 habitants,NA,Régions caractérisées par une hausse importante de l'emploi (0.76 % - 3.6%),NA,PIB par habitant en parité supérieur à 110% de la moyenne de l'UE,NA,Activités spécialisées supérieures,NA,Part de la population urbaine comprise entre  67  et 100 %,NA,AT13
3,Wien,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84255,1.78128964059197,NA,NA,NA,NA,NA,62644.0,73769.0,222.98,1.71707993223471,NA,NA,NA,NA,NA,NA,NA,NA,1837438,486838,306944,222884,201581,1177929,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300.0,NA,NA,NA,84.9191394759316,12986.0,NA,NA,NA,NA,26.495479031129197,16.7049990258175,41.3299952713619,110.56796027403401,26.057937278053302,39.8,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT130
1,SÜDÖSTERREICH,0,Autriche,894.9,46.5348,116.3,10.9322,13.3,886.666666666667,21.0,24.5,411.8,472.0,736.8,985.026737967914,990459.0,277328.52,149783.0,6890.018,38246.0,1.7706481481481497,617.8,233.9,60594,1.7769501466275701,544.75,189.3,841.8,30.2,838.888888888889,33847.5,52423.0,318.06,1.76472546495628,16889.0,842092.142002393,2509.092,1.76646860039426,981.0,25815.7894736842,598.0,26000.0,1790602,440421,359722,201919,239820,1100356,44.8,80.6,5.2,9.4,1.5,5.09956289460903,5.19067796610169,-0.0911150714926618,74.8,28.0,4.6,21600.0,37.8601489155066,34100.0,64.7125207887859,22.487526728439104,3.6,64.5661255555767,18023.2,2.0056,1420.4,3.8,2.3,24.5962531037048,20.089444778906802,40.0253190785528,84.19606371445249,32.6914198677519,44.8,80.6,0,1,NA,Régions en croissance démographique faible (0 - 0.24 %),NA,Régions de moins de 2 600 000 habitants,NA,Régions caractérisées par une baisse/stagnation de l'emploi (-0.67 - 0.24 %),NA,PIB par habitant en parité supérieur à 110% de la moyenne de l'UE,NA,Industrie,NA,Part de la population urbaine comprise entre  33  et  50 %,AT2
2,Kärnten,0,Autriche,273.2,14.7528,34.8,3.1668,4.4,275.0,7.4,9.0,126.9,144.4,225.5,306.38586956521704,308310.0,90643.14,43526.0,NA,11850.0,0.556338028169014,192.5,67.3,18195,0.556422018348624,171.0,60.8,255.7,8.2,256.25,10383.0,15780.0,56.94,0.556027537717885,3188.0,257491.31734108698,506.772,0.555488326208484,265.0,9464.285714285721,213.0,9681.81818181818,559846,135031,116505,59801,78901,339065,45.9,80.6,5.4,9.1,1.6,5.831363278171789,6.23268698060942,-0.40132370243762894,73.6,29.4,NA,21300.0,34.961038961039,32700.0,66.875244427063,23.7778646851779,3.2,65.79847908745249,10240.5,1.2381,912.3,2.8,2.2,24.1193113820586,20.8101870871633,39.824517422913,75.7924487649079,34.360668308436395,45.9,80.6,1,0,Régions en croissance démographique faible (0 - 0.24 %),NA,Régions de moins de 850 000 habitants,NA,Régions caractérisées par une hausse de l'emploi (0 % - 0.76%),NA,PIB par habitant en parité entre 90 et 110% de la moyenne de l'UE,NA,"Activités de service et de tourisme, agriculure",NA,Part de la population urbaine comprise entre  33  et  50 %,NA,AT21
3,Klagenfurt-Villach,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,0.28018421052631604,NA,NA,NA,NA,NA,6544.0,9218.0,39.23,0.27691504079961604,NA,NA,NA,NA,NA,NA,NA,NA,283712,67170,58023,29561,39416,174084,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000.0,NA,NA,NA,70.9915382946409,14166.8,NA,NA,NA,NA,23.675417324610898,20.4513732235506,38.58482112083821,74.99746295920441,33.330461156683,45.7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT211
3,Oberkärnten,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3237,0.12546511627907,NA,NA,NA,NA,NA,1859.0,2862.0,9.07,0.12693658768701102,NA,NA,NA,NA,NA,NA,NA,NA,125288,30550,27274,13795,17820,74461,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25800.0,NA,NA,NA,64.9545772187282,7145.3,NA,NA,NA,NA,24.383819679458497,21.769044122342102,41.028189253434704,77.41301907968571,36.6285706611515,46.4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT212
3,Unterkärnten,0,Autriche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4309,0.15066433566433599,NA,NA,NA,NA,NA,1981.0,3700.0,8.65,0.15217620773371804,NA,NA,NA,NA,NA,NA,NA,NA,150846,37311,31208,16445,21665,90520,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28600.0,NA,NA,NA,53.540540540540505,5684.2,NA,NA,NA,NA,24.7344974344696,20.6886493509937,41.218515245249705,75.9058389106854,34.4763588157313,45.9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT213
